	Pune	
		
		
Year	Population	
2024	73,46,000	
2025	75,13,000	
2030	82,30,000	
2035	89,90,000	
2040	98,00,000	
2045	1,06,60,000	
2050	1,15,80,000	
		
		
		
Year	Population	Growth Rate
2024	73,46,000	2.51%
2023	71,66,000	2.56%
2022	69,87,000	2.63%
2021	68,08,000	2.70%
2020	66,29,000	2.74%
2019	64,52,000	2.80%
2018	62,76,000	2.99%
2017	60,94,000	2.99%
2016	59,17,000	2.98%
2015	57,46,000	2.99%
2014	55,79,000	2.99%
2013	54,17,000	2.98%
2012	52,60,000	2.98%
2011	51,08,000	2.98%
2010	49,60,000	2.99%
