Ahmedabad		
		
		
Year	Population	
2025	78,69,667	
2030	88,01,211	
2035	98,31,132	
2040	1,09,74,287	
2045	1,22,48,380	
2050	1,36,72,194	
		
		
		
		
Year	Population	Growth Rate
2024	88,54,000	2.35%
2023	86,51,000	2.38%
2022	84,50,000	2.39%
2021	82,53,000	2.41%
2020	80,59,000	2.41%
2019	78,69,000	2.45%
2018	76,81,000	2.62%
2017	74,85,000	2.60%
2016	72,95,000	2.62%
2015	71,09,000	2.61%
2014	69,28,000	2.61%
2013	67,52,000	2.61%
2012	65,80,000	2.60%
2011	64,13,000	2.61%
2010	62,50,000	2.63%
