Bengaluru		
		
		
Year	Population	
2025	1,32,97,040	
2030	1,47,58,920	
2035	1,64,05,281	
2040	1,82,58,131	
2045	2,03,42,124	
2050	2,26,84,420	
		
		
		
		
Year	Population	Growth Rate
2024	1,40,08,000	2.94%
2023	1,36,08,000	3.15%
2022	1,31,93,000	3.35%
2021	1,27,65,000	3.55%
2020	1,23,27,000	3.74%
2019	1,18,83,000	3.87%
2018	1,14,40,000	4.09%
2017	1,09,90,000	4.10%
2016	1,05,57,000	4.10%
2015	1,01,41,000	4.10%
2014	97,42,000	4.10%
2013	93,58,000	4.09%
2012	89,90,000	4.10%
2011	86,36,000	4.10%
2010	82,96,000	4.10%

