Chennai		
		
		
Year	Population	
2024	1,20,54,000	
2025	1,23,08,000	
2030	1,35,70,000	
2035	1,49,30,000	
2040	1,63,90,000	
2045	1,79,60,000	
2050	1,96,40,000	
		
		
		
Year	Population	Growth Rate
2024	1,20,54,000	2.36%
2023	1,17,76,000	2.37%
2022	1,15,03,000	2.39%
2021	1,12,35,000	2.41%
2020	1,09,71,000	2.43%
2019	1,07,11,000	2.44%
2018	1,04,56,000	2.62%
2017	1,01,89,000	2.61%
2016	99,30,000	2.61%
2015	96,77,000	2.61%
2014	94,31,000	2.61%
2013	91,91,000	2.61%
2012	89,57,000	2.62%
2011	87,28,000	2.61%
2010	85,06,000	2.61%
