Hyderabad		
		
		
Year	Population	
2024	1,10,69,000	
2025		
2030		
2035		
2040		
2045		
2050		
		
avg growth is 2.75% 		
		
Year	Population	Growth Rate
2024	1,10,69,000	2.48%
2023	1,08,01,000	2.53%
2022	1,05,34,000	2.58%
2021	1,02,69,000	2.65%
2020	1,00,04,000	2.70%
2019	97,41,000	2.73%
2018	94,82,000	2.92%
2017	92,13,000	2.93%
2016	89,51,000	2.92%
2015	86,97,000	2.92%
2014	84,50,000	2.91%
2013	82,11,000	2.92%
2012	79,78,000	2.93%
2011	77,51,000	2.92%
2010	75,31,000	2.91%
