Kanpur		
		
		
Year	Population	
2025	31,66,082	
2030	33,38,857	
2035	35,18,070	
2040	3,578	
2045	38,95,246	
2050	40,92,953	
		
		
		
		
Year	Population	Growth Rate
2024	32,86,000	1.61%
2023	32,34,000	1.38%
2022	31,90,000	1.17%
2021	31,53,000	0.93%
2020	31,24,000	0.77%
2019	31,00,000	0.62%
2018	30,81,000	0.75%
2017	30,58,000	0.72%
2016	30,36,000	0.73%
2015	30,14,000	0.74%
2014	29,92,000	0.71%
2013	29,71,000	0.75%
2012	29,49,000	0.72%
2011	29,28,000	0.76%
2010	29,06,000	0.73%
2010	82,96,000	4.10%
