Kolkata		
		
		
Year	Population	
2024	1,55,71,000	
2025	1,58,10,000	
2030	1,69,20,000	
2035	1,80,70,000	
2040	1,92,60,000	
2045	2,04,90,000	
2050	2,17,70,000	
		
		
		
Year	Population	Growth Rate
2024	1,55,71,000	1.55%
2023	1,53,33,000	1.31%
2022	1,51,34,000	1.07%
2021	1,49,74,000	0.84%
2020	1,48,50,000	0.64%
2019	1,47,55,000	0.50%
2018	1,46,81,000	0.60%
2017	1,45,94,000	0.59%
2016	1,45,08,000	0.59%
2015	1,44,23,000	0.59%
2014	1,43,38,000	0.60%
2013	1,42,53,000	0.59%
2012	1,41,69,000	0.59%
2011	1,40,86,000	0.59%
2010	1,40,03,000	0.60%
