	MUMBAI		
			
			
Year	Population		
2025	2,34,00,000		
2030	2,53,00,000		
2035	2,74,00,000		
2040	2,97,00,000		
2045	3,23,00,000		
2050	3,51,00,000		
			
			
AVG=1.23% with 0.04% increase each year.			
			
Year	Population	Growth Rate	
2024	2,16,73,000	1.77%	
2023	2,12,97,000	1.60%	
2022	2,09,61,000	1.42%	
2021	2,06,68,000	1.26%	
2020	2,04,11,000	1.12%	
2019	2,01,85,000	1.03%	
2018	1,99,80,000	1.13%	
2017	1,97,56,000	1.13%	
2016	1,95,35,000	1.13%	
2015	1,93,16,000	1.14%	
2014	1,90,99,000	1.13%	
2013	1,88,85,000	1.13%	
2012	1,86,74,000	1.14%	
2011	1,84,64,000	1.13%	
2010	1,82,57,000	1.13%	
